pipname,tile,tile_type,tile_x,tile_y,src_wire,dst_wire,net,base_reg,avg_delay_ps,max_delay_ps
INT_R_X9Y108/NN6A1->INT_R_X9Y114/NN2A1,INT_R_X9Y108,INT_R,9,108,INT_R_X9Y108/NN6A1,INT_R_X9Y114/NN2A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
CLBLL_L_X14Y106/CLBLL_LL_A2->SITEWIRE/SLICE_X20Y106/A5,CLBLL_L_X14Y106,CLBLL_L,14,106,CLBLL_L_X14Y106/CLBLL_LL_A2,SITEWIRE/SLICE_X20Y106/A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,0,0
INT_R_X9Y102/NN6A1->INT_R_X9Y108/NN6A1,INT_R_X9Y102,INT_R,9,102,INT_R_X9Y102/NN6A1,INT_R_X9Y108/NN6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X2Y130/NW2END1->INT_L_X2Y130/IMUX_L9,INT_L_X2Y130,INT_L,2,130,INT_L_X2Y130/NW2END1,INT_L_X2Y130/IMUX_L9,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_R_X19Y117/EE4BEG1->INT_L_X24Y117/EE4A1,INT_R_X19Y117,INT_R,19,117,INT_R_X19Y117/EE4BEG1,INT_L_X24Y117/EE4A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_R_X17Y117/EE2BEG1->INT_R_X19Y117/EE4BEG1,INT_R_X17Y117,INT_R,17,117,INT_R_X17Y117/EE2BEG1,INT_R_X19Y117/EE4BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_R_X9Y117/NN2A1->INT_R_X9Y118/IMUX42,INT_R_X9Y117,INT_R,9,117,INT_R_X9Y117/NN2A1,INT_R_X9Y118/IMUX42,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
DSP_L_X34Y80/DSP_1_B13->SITEWIRE/DSP48_X1Y33/B13,DSP_L_X34Y80,DSP_L,34,80,DSP_L_X34Y80/DSP_1_B13,SITEWIRE/DSP48_X1Y33/B13,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,0,0
INT_R_X9Y118/IMUX42->DSP_R_X9Y115/DSP_0_B14,INT_R_X9Y118,INT_R,9,118,INT_R_X9Y118/IMUX42,DSP_R_X9Y115/DSP_0_B14,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_R_X13Y101/LOGIC_OUTS5->INT_L_X10Y101/WW4C1,INT_R_X13Y101,INT_R,13,101,INT_R_X13Y101/LOGIC_OUTS5,INT_L_X10Y101/WW4C1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_R_X11Y117/EE2BEG1->INT_L_X14Y117/EE4A1,INT_R_X11Y117,INT_R,11,117,INT_R_X11Y117/EE2BEG1,INT_L_X14Y117/EE4A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X4Y141/NN6A1->INT_L_X4Y147/NN2A1,INT_L_X4Y141,INT_L,4,141,INT_L_X4Y141/NN6A1,INT_L_X4Y147/NN2A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
DSP_R_X9Y95/DSP_0_B14->SITEWIRE/DSP48_X0Y38/B14,DSP_R_X9Y95,DSP_R,9,95,DSP_R_X9Y95/DSP_0_B14,SITEWIRE/DSP48_X0Y38/B14,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,0,0
DSP_L_X34Y115/DSP_1_B13->SITEWIRE/DSP48_X1Y47/B13,DSP_L_X34Y115,DSP_L,34,115,DSP_L_X34Y115/DSP_1_B13,SITEWIRE/DSP48_X1Y47/B13,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,0,0
INT_R_X33Y117/SE6BEG1->INT_L_X34Y112/SW2END1,INT_R_X33Y117,INT_R,33,117,INT_R_X33Y117/SE6BEG1,INT_L_X34Y112/SW2END1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y118/IMUX_L1->DSP_L_X34Y115/DSP_1_B13,INT_L_X34Y118,INT_L,34,118,INT_L_X34Y118/IMUX_L1,DSP_L_X34Y115/DSP_1_B13,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y117/BYP_ALT3->INT_L_X34Y117/BYP_BOUNCE3,INT_L_X34Y117,INT_L,34,117,INT_L_X34Y117/BYP_ALT3,INT_L_X34Y117/BYP_BOUNCE3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X24Y117/EE4A1->INT_R_X27Y117/EE4BEG1,INT_L_X24Y117,INT_L,24,117,INT_L_X24Y117/EE4A1,INT_R_X27Y117/EE4BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
CLBLL_L_X4Y149/CLBLL_LL_C4->SITEWIRE/SLICE_X4Y149/C1,CLBLL_L_X4Y149,CLBLL_L,4,149,CLBLL_L_X4Y149/CLBLL_LL_C4,SITEWIRE/SLICE_X4Y149/C1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,0,0
INT_L_X4Y149/SS2END2->INT_L_X4Y149/IMUX_L28,INT_L_X4Y149,INT_L,4,149,INT_L_X4Y149/SS2END2,INT_L_X4Y149/IMUX_L28,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X4Y147/NN2A1->INT_L_X4Y149/SS2END2,INT_L_X4Y147,INT_L,4,147,INT_L_X4Y147/NN2A1,INT_L_X4Y149/SS2END2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X14Y117/EE4A1->INT_R_X17Y117/EE2BEG1,INT_L_X14Y117,INT_L,14,117,INT_L_X14Y117/EE4A1,INT_R_X17Y117/EE2BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X10Y113/NE6A1->INT_R_X11Y117/EE2BEG1,INT_L_X10Y113,INT_L,10,113,INT_L_X10Y113/NE6A1,INT_R_X11Y117/EE2BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y83/IMUX_L1->DSP_L_X34Y80/DSP_1_B13,INT_L_X34Y83,INT_L,34,83,INT_L_X34Y83/IMUX_L1,DSP_L_X34Y80/DSP_1_B13,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_R_X9Y108/NN6A1->INT_L_X10Y113/NE6A1,INT_R_X9Y108,INT_R,9,108,INT_R_X9Y108/NN6A1,INT_L_X10Y113/NE6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X4Y128/NW2END1->INT_L_X4Y129/NN6A1,INT_L_X4Y128,INT_L,4,128,INT_L_X4Y128/NW2END1,INT_L_X4Y129/NN6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y83/FAN_BOUNCE6->INT_L_X34Y83/IMUX_L1,INT_L_X34Y83,INT_L,34,83,INT_L_X34Y83/FAN_BOUNCE6,INT_L_X34Y83/IMUX_L1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X4Y149/IMUX_L28->CLBLL_L_X4Y149/CLBLL_LL_C4,INT_L_X4Y149,INT_L,4,149,INT_L_X4Y149/IMUX_L28,CLBLL_L_X4Y149/CLBLL_LL_C4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
CLBLL_L_X2Y130/CLBLL_L_D1->SITEWIRE/SLICE_X1Y130/D3,CLBLL_L_X2Y130,CLBLL_L,2,130,CLBLL_L_X2Y130/CLBLL_L_D1,SITEWIRE/SLICE_X1Y130/D3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,0,0
INT_R_X27Y117/EE4BEG1->INT_R_X33Y117/SE6BEG1,INT_R_X27Y117,INT_R,27,117,INT_R_X27Y117/EE4BEG1,INT_R_X33Y117/SE6BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y83/FAN_ALT6->INT_L_X34Y83/FAN_BOUNCE6,INT_L_X34Y83,INT_L,34,83,INT_L_X34Y83/FAN_ALT6,INT_L_X34Y83/FAN_BOUNCE6,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X14Y106/NW2END1->INT_L_X14Y106/IMUX_L2,INT_L_X14Y106,INT_L,14,106,INT_L_X14Y106/NW2END1,INT_L_X14Y106/IMUX_L2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y82/NR1BEG1->INT_L_X34Y83/FAN_ALT6,INT_L_X34Y82,INT_L,34,82,INT_L_X34Y82/NR1BEG1,INT_L_X34Y83/FAN_ALT6,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_R_X9Y114/NN2A1->INT_R_X5Y115/WW4END1,INT_R_X9Y114,INT_R,9,114,INT_R_X9Y114/NN2A1,INT_R_X5Y115/WW4END1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y87/SS6A1->INT_L_X34Y82/NR1BEG1,INT_L_X34Y87,INT_L,34,87,INT_L_X34Y87/SS6A1,INT_L_X34Y82/NR1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y100/SS6BEG1->INT_L_X34Y93/SS6A1,INT_L_X34Y100,INT_L,34,100,INT_L_X34Y100/SS6BEG1,INT_L_X34Y93/SS6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y105/SS6A1->INT_L_X34Y100/SS6BEG1,INT_L_X34Y105,INT_L,34,105,INT_L_X34Y105/SS6A1,INT_L_X34Y100/SS6BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_R_X11Y105/WW4END1->INT_R_X11Y105/ER1BEG1,INT_R_X11Y105,INT_R,11,105,INT_R_X11Y105/WW4END1,INT_R_X11Y105/ER1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y111/SS6A1->INT_L_X34Y105/SS6A1,INT_L_X34Y111,INT_L,34,111,INT_L_X34Y111/SS6A1,INT_L_X34Y105/SS6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
INT_L_X34Y112/SW2END1->INT_L_X34Y111/SS6A1,INT_L_X34Y112,INT_L,34,112,INT_L_X34Y112/SW2END1,INT_L_X34Y111/SS6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[30],rs2_reg,132.42498665242925,301
CLBLM_R_X5Y131/CLBLM_L_C1->SITEWIRE/SLICE_X7Y131/C4,CLBLM_R_X5Y131,CLBLM_R,5,131,CLBLM_R_X5Y131/CLBLM_L_C1,SITEWIRE/SLICE_X7Y131/C4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,0,0
INT_R_X9Y128/LV10->INT_L_X8Y127/NW6A1,INT_R_X9Y128,INT_R,9,128,INT_R_X9Y128/LV10,INT_L_X8Y127/NW6A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_R_X9Y110/LV10->INT_R_X9Y128/LV10,INT_R_X9Y110,INT_R,9,110,INT_R_X9Y110/LV10,INT_R_X9Y128/LV10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_R_X9Y128/LV10->INT_R_X9Y146/LVB10,INT_R_X9Y128,INT_R,9,128,INT_R_X9Y128/LV10,INT_R_X9Y146/LVB10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X4Y149/NW2END2->INT_L_X4Y149/IMUX_L11,INT_L_X4Y149,INT_L,4,149,INT_L_X4Y149/NW2END2,INT_L_X4Y149/IMUX_L11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
CLBLL_L_X4Y149/CLBLL_LL_A4->SITEWIRE/SLICE_X4Y149/A1,CLBLL_L_X4Y149,CLBLL_L,4,149,CLBLL_L_X4Y149/CLBLL_LL_A4,SITEWIRE/SLICE_X4Y149/A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,0,0
INT_L_X34Y81/NR1BEG0->INT_L_X34Y82/IMUX_L8,INT_L_X34Y81,INT_L,34,81,INT_L_X34Y81/NR1BEG0,INT_L_X34Y82/IMUX_L8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X34Y82/IMUX_L8->DSP_L_X34Y80/DSP_1_B11,INT_L_X34Y82,INT_L,34,82,INT_L_X34Y82/IMUX_L8,DSP_L_X34Y80/DSP_1_B11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X20Y82/SS2A0->INT_L_X20Y81/EE4BEG0,INT_L_X20Y82,INT_L,20,82,INT_L_X20Y82/SS2A0,INT_L_X20Y81/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X20Y81/EE4BEG0->INT_L_X24Y81/EE4BEG0,INT_L_X20Y81,INT_L,20,81,INT_L_X20Y81/EE4BEG0,INT_L_X24Y81/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_R_X5Y148/WW4END2->INT_L_X4Y149/NW2END2,INT_R_X5Y148,INT_R,5,148,INT_R_X5Y148/WW4END2,INT_L_X4Y149/NW2END2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X4Y149/IMUX_L11->CLBLL_L_X4Y149/CLBLL_LL_A4,INT_L_X4Y149,INT_L,4,149,INT_L_X4Y149/IMUX_L11,CLBLL_L_X4Y149/CLBLL_LL_A4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X24Y81/EE4BEG0->INT_L_X28Y81/EE4BEG0,INT_L_X24Y81,INT_L,24,81,INT_L_X24Y81/EE4BEG0,INT_L_X28Y81/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X8Y127/NW6A1->INT_L_X6Y131/WR1END2,INT_L_X8Y127,INT_L,8,127,INT_L_X8Y127/NW6A1,INT_L_X6Y131/WR1END2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X28Y81/EE4BEG0->INT_L_X32Y81/EE2BEG0,INT_L_X28Y81,INT_L,28,81,INT_L_X28Y81/EE4BEG0,INT_L_X32Y81/EE2BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X10Y82/BYP_L5->CLBLM_L_X10Y82/CLBLM_L_BX,INT_L_X10Y82,INT_L,10,82,INT_L_X10Y82/BYP_L5,CLBLM_L_X10Y82/CLBLM_L_BX,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X8Y94/NN2A0->INT_L_X8Y96/NN2A0,INT_L_X8Y94,INT_L,8,94,INT_L_X8Y94/NN2A0,INT_L_X8Y96/NN2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_R_X9Y97/BYP_BOUNCE7->INT_R_X9Y98/IMUX43,INT_R_X9Y97,INT_R,9,97,INT_R_X9Y97/BYP_BOUNCE7,INT_R_X9Y98/IMUX43,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_R_X5Y118/ER1BEG3->INT_L_X6Y118/EL1BEG2,INT_R_X5Y118,INT_R,5,118,INT_R_X5Y118/ER1BEG3,INT_L_X6Y118/EL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
CLBLM_L_X10Y82/CLBLM_L_BX->SITEWIRE/SLICE_X13Y82/BX,CLBLM_L_X10Y82,CLBLM_L,10,82,CLBLM_L_X10Y82/CLBLM_L_BX,SITEWIRE/SLICE_X13Y82/BX,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,0,0
INT_L_X10Y89/NW6BEG0->INT_L_X8Y94/NN2A0,INT_L_X10Y89,INT_L,10,89,INT_L_X10Y89/NW6BEG0,INT_L_X8Y94/NN2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X8Y96/NN2A0->INT_L_X8Y98/NE2A0,INT_L_X8Y96,INT_L,8,96,INT_L_X8Y96/NN2A0,INT_L_X8Y98/NE2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
INT_L_X8Y98/NE2A0->INT_R_X9Y97/BYP_ALT7,INT_L_X8Y98,INT_L,8,98,INT_L_X8Y98/NE2A0,INT_R_X9Y97/BYP_ALT7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[28],rs2_reg,132.42498665242925,301
