rank,pipname,tile,tile_type,tile_x,tile_y,src_wire,dst_wire,net,avg_delay_ps,max_delay_ps
252,DSP_R_X9Y95/DSP_0_B8->SITEWIRE/DSP48_X0Y38/B8,DSP_R_X9Y95,DSP_R,9,95,DSP_R_X9Y95/DSP_0_B8,SITEWIRE/DSP48_X0Y38/B8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
253,INT_R_X9Y85/SR1BEG_S0->INT_R_X9Y85/SR1BEG1,INT_R_X9Y85,INT_R,9,85,INT_R_X9Y85/SR1BEG_S0,INT_R_X9Y85/SR1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
254,INT_R_X5Y123/SE6BEG3->INT_L_X8Y118/SE2END3,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/SE6BEG3,INT_L_X8Y118/SE2END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
255,CLBLM_R_X7Y84/CLBLM_L_BX->SITEWIRE/SLICE_X9Y84/BX,CLBLM_R_X7Y84,CLBLM_R,7,84,CLBLM_R_X7Y84/CLBLM_L_BX,SITEWIRE/SLICE_X9Y84/BX,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
256,INT_L_X8Y83/SW2END1->INT_L_X8Y83/WL1BEG0,INT_L_X8Y83,INT_L,8,83,INT_L_X8Y83/SW2END1,INT_L_X8Y83/WL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
257,INT_L_X4Y137/NR1BEG3->INT_L_X4Y139/NN2A3,INT_L_X4Y137,INT_L,4,137,INT_L_X4Y137/NR1BEG3,INT_L_X4Y139/NN2A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
258,INT_L_X8Y100/SS2BEG2->INT_L_X8Y98/SL1BEG2,INT_L_X8Y100,INT_L,8,100,INT_L_X8Y100/SS2BEG2,INT_L_X8Y98/SL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
259,INT_L_X34Y96/LVB_L10->INT_L_X34Y85/SS6A2,INT_L_X34Y96,INT_L,34,96,INT_L_X34Y96/LVB_L10,INT_L_X34Y85/SS6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
260,INT_L_X8Y117/SE2A3->INT_R_X9Y117/IMUX22,INT_L_X8Y117,INT_L,8,117,INT_L_X8Y117/SE2A3,INT_R_X9Y117/IMUX22,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
261,INT_R_X9Y98/SS2A2->INT_R_X9Y97/IMUX22,INT_R_X9Y98,INT_R,9,98,INT_R_X9Y98/SS2A2,INT_R_X9Y97/IMUX22,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
262,INT_L_X8Y96/SE6A2->INT_R_X9Y91/SS6A2,INT_L_X8Y96,INT_L,8,96,INT_L_X8Y96/SE6A2,INT_R_X9Y91/SS6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
263,CLBLM_R_X5Y123/CLBLM_M_BMUX->INT_R_X5Y123/LOGIC_OUTS21,CLBLM_R_X5Y123,CLBLM_R,5,123,CLBLM_R_X5Y123/CLBLM_M_BMUX,INT_R_X5Y123/LOGIC_OUTS21,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
264,INT_R_X25Y115/EE4BEG3->INT_R_X31Y115/EE4BEG3,INT_R_X25Y115,INT_R,25,115,INT_R_X25Y115/EE4BEG3,INT_R_X31Y115/EE4BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
265,INT_R_X9Y97/IMUX22->DSP_R_X9Y95/DSP_0_B8,INT_R_X9Y97,INT_R,9,97,INT_R_X9Y97/IMUX22,DSP_R_X9Y95/DSP_0_B8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
266,INT_L_X8Y105/SS6A2->INT_L_X8Y100/SS2BEG2,INT_L_X8Y105,INT_L,8,105,INT_L_X8Y105/SS6A2,INT_L_X8Y100/SS2BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
267,INT_R_X7Y83/IMUX10->CLBLM_R_X7Y83/CLBLM_L_A4,INT_R_X7Y83,INT_R,7,83,INT_R_X7Y83/IMUX10,CLBLM_R_X7Y83/CLBLM_L_A4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
268,INT_R_X9Y85/SR1BEG1->INT_L_X8Y83/SW2END1,INT_R_X9Y85,INT_R,9,85,INT_R_X9Y85/SR1BEG1,INT_L_X8Y83/SW2END1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
269,INT_L_X8Y83/WL1BEG0->INT_R_X7Y83/IMUX10,INT_L_X8Y83,INT_L,8,83,INT_L_X8Y83/WL1BEG0,INT_R_X7Y83/IMUX10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
270,INT_R_X31Y115/EE4BEG3->INT_L_X34Y116/WR1END0,INT_R_X31Y115,INT_R,31,115,INT_R_X31Y115/EE4BEG3,INT_L_X34Y116/WR1END0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
271,INT_L_X4Y140/IMUX_L6->CLBLL_L_X4Y140/CLBLL_L_A1,INT_L_X4Y140,INT_L,4,140,INT_L_X4Y140/IMUX_L6,CLBLL_L_X4Y140/CLBLL_L_A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
272,INT_L_X34Y98/LV_L0->INT_L_X34Y96/LVB_L10,INT_L_X34Y98,INT_L,34,98,INT_L_X34Y98/LV_L0,INT_L_X34Y96/LVB_L10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
273,INT_R_X5Y137/IMUX9->CLBLM_R_X5Y137/CLBLM_L_A5,INT_R_X5Y137,INT_R,5,137,INT_R_X5Y137/IMUX9,CLBLM_R_X5Y137/CLBLM_L_A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
274,INT_L_X8Y119/SE6A3->INT_L_X10Y115/EE4A3,INT_L_X8Y119,INT_L,8,119,INT_L_X8Y119/SE6A3,INT_L_X10Y115/EE4A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
275,INT_L_X14Y115/LH11->INT_R_X25Y115/EE4BEG3,INT_L_X14Y115,INT_L,14,115,INT_L_X14Y115/LH11,INT_R_X25Y115/EE4BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
276,INT_R_X5Y123/SE6BEG3->INT_L_X8Y119/SE6A3,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/SE6BEG3,INT_L_X8Y119/SE6A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
277,DSP_L_X34Y80/DSP_1_B7->SITEWIRE/DSP48_X1Y33/B7,DSP_L_X34Y80,DSP_L,34,80,DSP_L_X34Y80/DSP_1_B7,SITEWIRE/DSP48_X1Y33/B7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
278,INT_L_X34Y116/WR1END0->INT_L_X34Y116/IMUX_L8,INT_L_X34Y116,INT_L,34,116,INT_L_X34Y116/WR1END0,INT_L_X34Y116/IMUX_L8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
279,INT_L_X34Y81/IMUX_L8->DSP_L_X34Y80/DSP_1_B7,INT_L_X34Y81,INT_L,34,81,INT_L_X34Y81/IMUX_L8,DSP_L_X34Y80/DSP_1_B7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
280,INT_L_X34Y116/IMUX_L8->DSP_L_X34Y115/DSP_1_B7,INT_L_X34Y116,INT_L,34,116,INT_L_X34Y116/IMUX_L8,DSP_L_X34Y115/DSP_1_B7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
281,INT_L_X34Y81/WR1END0->INT_L_X34Y81/IMUX_L8,INT_L_X34Y81,INT_L,34,81,INT_L_X34Y81/WR1END0,INT_L_X34Y81/IMUX_L8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
282,INT_L_X4Y137/ER1END3->INT_L_X4Y137/NR1BEG3,INT_L_X4Y137,INT_L,4,137,INT_L_X4Y137/ER1END3,INT_L_X4Y137/NR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
283,INT_L_X36Y80/WR1BEG3->INT_L_X34Y81/WR1END0,INT_L_X36Y80,INT_L,36,80,INT_L_X36Y80/WR1BEG3,INT_L_X34Y81/WR1END0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
284,CLBLL_L_X4Y148/CLBLL_LL_A5->SITEWIRE/SLICE_X4Y148/A1,CLBLL_L_X4Y148,CLBLL_L,4,148,CLBLL_L_X4Y148/CLBLL_LL_A5,SITEWIRE/SLICE_X4Y148/A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],0,0
285,INT_L_X4Y148/IMUX_L8->CLBLL_L_X4Y148/CLBLL_LL_A5,INT_L_X4Y148,INT_L,4,148,INT_L_X4Y148/IMUX_L8,CLBLL_L_X4Y148/CLBLL_LL_A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
286,INT_L_X8Y96/SW2A2->INT_L_X8Y96/SE6A2,INT_L_X8Y96,INT_L,8,96,INT_L_X8Y96/SW2A2,INT_L_X8Y96/SE6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
287,INT_L_X4Y148/EL1END0->INT_L_X4Y148/IMUX_L8,INT_L_X4Y148,INT_L,4,148,INT_L_X4Y148/EL1END0,INT_L_X4Y148/IMUX_L8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
288,INT_L_X34Y116/WR1END0->INT_L_X34Y98/LV_L0,INT_L_X34Y116,INT_L,34,116,INT_L_X34Y116/WR1END0,INT_L_X34Y98/LV_L0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
289,INT_R_X3Y146/NN2A2->INT_R_X3Y147/NL1BEG1,INT_R_X3Y146,INT_R,3,146,INT_R_X3Y146/NN2A2,INT_R_X3Y147/NL1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
290,INT_L_X4Y141/NW6A2->INT_R_X3Y146/NN2A2,INT_L_X4Y141,INT_L,4,141,INT_L_X4Y141/NW6A2,INT_R_X3Y146/NN2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[24],132.42498665242925,301
291,INT_R_X7Y125/IMUX3->CLBLM_R_X7Y125/CLBLM_L_A2,INT_R_X7Y125,INT_R,7,125,INT_R_X7Y125/IMUX3,CLBLM_R_X7Y125/CLBLM_L_A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
292,CLBLM_R_X7Y125/CLBLM_L_A2->SITEWIRE/SLICE_X9Y125/A2,CLBLM_R_X7Y125,CLBLM_R,7,125,CLBLM_R_X7Y125/CLBLM_L_A2,SITEWIRE/SLICE_X9Y125/A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
293,INT_L_X4Y127/EE4BEG2->INT_L_X8Y126/SS2A2,INT_L_X4Y127,INT_L,4,127,INT_L_X4Y127/EE4BEG2,INT_L_X8Y126/SS2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
294,INT_L_X8Y125/WL1BEG1->INT_R_X7Y125/IMUX11,INT_L_X8Y125,INT_L,8,125,INT_L_X8Y125/WL1BEG1,INT_R_X7Y125/IMUX11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
295,CLBLM_R_X7Y125/CLBLM_M_A4->SITEWIRE/SLICE_X8Y125/A4,CLBLM_R_X7Y125,CLBLM_R,7,125,CLBLM_R_X7Y125/CLBLM_M_A4,SITEWIRE/SLICE_X8Y125/A4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
296,INT_R_X5Y127/WW2END2->INT_R_X5Y127/IMUX46,INT_R_X5Y127,INT_R,5,127,INT_R_X5Y127/WW2END2,INT_R_X5Y127/IMUX46,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
297,INT_R_X5Y127/IMUX46->CLBLM_R_X5Y127/CLBLM_L_D5,INT_R_X5Y127,INT_R,5,127,INT_R_X5Y127/IMUX46,CLBLM_R_X5Y127/CLBLM_L_D5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
298,CLBLM_R_X5Y127/CLBLM_L_D5->SITEWIRE/SLICE_X7Y127/D3,CLBLM_R_X5Y127,CLBLM_R,5,127,CLBLM_R_X5Y127/CLBLM_L_D5,SITEWIRE/SLICE_X7Y127/D3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
299,INT_L_X4Y115/LVB_L0->INT_L_X4Y127/EE4BEG2,INT_L_X4Y115,INT_L,4,115,INT_L_X4Y115/LVB_L0,INT_L_X4Y127/EE4BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
300,INT_L_X4Y127/EE4BEG2->INT_L_X8Y127/WR1BEG3,INT_L_X4Y127,INT_L,4,127,INT_L_X4Y127/EE4BEG2,INT_L_X8Y127/WR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
301,CLBLM_R_X5Y127/CLBLM_L_C5->SITEWIRE/SLICE_X7Y127/C4,CLBLM_R_X5Y127,CLBLM_R,5,127,CLBLM_R_X5Y127/CLBLM_L_C5,SITEWIRE/SLICE_X7Y127/C4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
302,INT_L_X4Y139/SW6BEG2->INT_L_X2Y135/NL1BEG2,INT_L_X4Y139,INT_L,4,139,INT_L_X4Y139/SW6BEG2,INT_L_X2Y135/NL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
303,INT_L_X2Y136/IMUX_L11->CLBLL_L_X2Y136/CLBLL_LL_A4,INT_L_X2Y136,INT_L,2,136,INT_L_X2Y136/IMUX_L11,CLBLL_L_X2Y136/CLBLL_LL_A4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
304,INT_L_X8Y104/NN6A3->INT_L_X4Y109/WW4END3,INT_L_X8Y104,INT_L,8,104,INT_L_X8Y104/NN6A3,INT_L_X4Y109/WW4END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
305,INT_L_X4Y109/WW4END3->INT_L_X4Y110/NN6A3,INT_L_X4Y109,INT_L,4,109,INT_L_X4Y109/WW4END3,INT_L_X4Y110/NN6A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
306,INT_L_X4Y110/NN6A3->INT_L_X4Y115/LVB_L0,INT_L_X4Y110,INT_L,4,110,INT_L_X4Y110/NN6A3,INT_L_X4Y115/LVB_L0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
307,INT_L_X4Y115/LVB_L0->INT_L_X4Y137/LVB_L10,INT_L_X4Y115,INT_L,4,115,INT_L_X4Y115/LVB_L0,INT_L_X4Y137/LVB_L10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
308,INT_L_X4Y137/LVB_L10->INT_L_X4Y139/SW6BEG2,INT_L_X4Y137,INT_L,4,137,INT_L_X4Y137/LVB_L10,INT_L_X4Y139/SW6BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
309,INT_L_X4Y139/SW6BEG2->INT_L_X2Y145/LVB_L10,INT_L_X4Y139,INT_L,4,139,INT_L_X4Y139/SW6BEG2,INT_L_X2Y145/LVB_L10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
310,INT_L_X2Y145/LVB_L10->INT_L_X2Y147/EE4BEG2,INT_L_X2Y145,INT_L,2,145,INT_L_X2Y145/LVB_L10,INT_L_X2Y147/EE4BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
311,INT_L_X6Y146/SS2A2->INT_L_X4Y145/WW2END2,INT_L_X6Y146,INT_L,6,146,INT_L_X6Y146/SS2A2,INT_L_X4Y145/WW2END2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
312,INT_L_X4Y145/WW2END2->INT_L_X4Y145/BYP_ALT3,INT_L_X4Y145,INT_L,4,145,INT_L_X4Y145/WW2END2,INT_L_X4Y145/BYP_ALT3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
313,INT_L_X4Y145/BYP_ALT3->INT_L_X4Y145/BYP_BOUNCE3,INT_L_X4Y145,INT_L,4,145,INT_L_X4Y145/BYP_ALT3,INT_L_X4Y145/BYP_BOUNCE3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
314,INT_L_X4Y145/BYP_BOUNCE3->INT_L_X4Y145/IMUX_L7,INT_L_X4Y145,INT_L,4,145,INT_L_X4Y145/BYP_BOUNCE3,INT_L_X4Y145/IMUX_L7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
315,INT_L_X10Y93/NW6BEG3->INT_L_X8Y98/NN6A3,INT_L_X10Y93,INT_L,10,93,INT_L_X10Y93/NW6BEG3,INT_L_X8Y98/NN6A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
316,INT_L_X2Y147/EE4BEG2->INT_L_X6Y146/SS2A2,INT_L_X2Y147,INT_L,2,147,INT_L_X2Y147/EE4BEG2,INT_L_X6Y146/SS2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
317,INT_L_X8Y116/NE2A2->INT_R_X9Y116/NL1BEG1,INT_L_X8Y116,INT_L,8,116,INT_L_X8Y116/NE2A2,INT_R_X9Y116/NL1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
318,DSP_R_X9Y70/DSP_0_B12->SITEWIRE/DSP48_X0Y28/B12,DSP_R_X9Y70,DSP_R,9,70,DSP_R_X9Y70/DSP_0_B12,SITEWIRE/DSP48_X0Y28/B12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
319,INT_L_X8Y98/NN6A3->INT_L_X8Y104/NN6A3,INT_L_X8Y98,INT_L,8,98,INT_L_X8Y98/NN6A3,INT_L_X8Y104/NN6A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
320,DSP_R_X9Y105/DSP_0_B12->SITEWIRE/DSP48_X0Y42/B12,DSP_R_X9Y105,DSP_R,9,105,DSP_R_X9Y105/DSP_0_B12,SITEWIRE/DSP48_X0Y42/B12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
321,INT_L_X8Y127/WR1BEG3->INT_R_X5Y127/WW2END2,INT_L_X8Y127,INT_L,8,127,INT_L_X8Y127/WR1BEG3,INT_R_X5Y127/WW2END2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
322,INT_L_X10Y93/WW4END3->INT_L_X10Y92/SW2A2,INT_L_X10Y93,INT_L,10,93,INT_L_X10Y93/WW4END3,INT_L_X10Y92/SW2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
323,INT_L_X34Y117/BYP_BOUNCE7->INT_L_X34Y118/IMUX_L43,INT_L_X34Y117,INT_L,34,117,INT_L_X34Y117/BYP_BOUNCE7,INT_L_X34Y118/IMUX_L43,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
324,INT_L_X8Y90/SW2END3->INT_L_X8Y91/IMUX_L8,INT_L_X8Y90,INT_L,8,90,INT_L_X8Y90/SW2END3,INT_L_X8Y91/IMUX_L8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
325,INT_R_X9Y92/SR1BEG3->INT_L_X8Y90/SW2END3,INT_R_X9Y92,INT_R,9,92,INT_R_X9Y92/SR1BEG3,INT_L_X8Y90/SW2END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
326,INT_L_X34Y117/BYP_ALT7->INT_L_X34Y117/BYP_BOUNCE7,INT_L_X34Y117,INT_L,34,117,INT_L_X34Y117/BYP_ALT7,INT_L_X34Y117/BYP_BOUNCE7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
327,INT_R_X9Y116/NL1BEG1->INT_R_X9Y117/NR1BEG1,INT_R_X9Y116,INT_R,9,116,INT_R_X9Y116/NL1BEG1,INT_R_X9Y117/NR1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
328,INT_L_X34Y118/SL1BEG3->INT_L_X34Y117/BYP_ALT7,INT_L_X34Y118,INT_L,34,118,INT_L_X34Y118/SL1BEG3,INT_L_X34Y117/BYP_ALT7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
329,CLBLL_L_X2Y136/CLBLL_LL_A4->SITEWIRE/SLICE_X0Y136/A1,CLBLL_L_X2Y136,CLBLL_L,2,136,CLBLL_L_X2Y136/CLBLL_LL_A4,SITEWIRE/SLICE_X0Y136/A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
330,INT_R_X9Y118/NL1BEG0->INT_R_X9Y118/IMUX47,INT_R_X9Y118,INT_R,9,118,INT_R_X9Y118/NL1BEG0,INT_R_X9Y118/IMUX47,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
331,INT_R_X9Y118/IMUX47->DSP_R_X9Y115/DSP_0_A12,INT_R_X9Y118,INT_R,9,118,INT_R_X9Y118/IMUX47,DSP_R_X9Y115/DSP_0_A12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
332,INT_L_X10Y92/SW2A2->INT_R_X9Y92/SR1BEG3,INT_L_X10Y92,INT_L,10,92,INT_L_X10Y92/SW2A2,INT_R_X9Y92/SR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
333,INT_L_X34Y82/BYP_BOUNCE7->INT_L_X34Y83/IMUX_L43,INT_L_X34Y82,INT_L,34,82,INT_L_X34Y82/BYP_BOUNCE7,INT_L_X34Y83/IMUX_L43,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
334,INT_R_X9Y73/IMUX43->DSP_R_X9Y70/DSP_0_B12,INT_R_X9Y73,INT_R,9,73,INT_R_X9Y73/IMUX43,DSP_R_X9Y70/DSP_0_B12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
335,INT_L_X8Y104/NN6A3->INT_L_X8Y109/SR1BEG3,INT_L_X8Y104,INT_L,8,104,INT_L_X8Y104/NN6A3,INT_L_X8Y109/SR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
336,INT_L_X8Y126/SS2A2->INT_L_X8Y125/WL1BEG1,INT_L_X8Y126,INT_L,8,126,INT_L_X8Y126/SS2A2,INT_L_X8Y125/WL1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
337,INT_L_X8Y109/SR1BEG3->INT_L_X8Y108/SR1BEG_S0,INT_L_X8Y109,INT_L,8,109,INT_L_X8Y109/SR1BEG3,INT_L_X8Y108/SR1BEG_S0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
338,INT_L_X8Y91/IMUX_L8->CLBLM_L_X8Y91/CLBLM_M_A5,INT_L_X8Y91,INT_L,8,91,INT_L_X8Y91/IMUX_L8,CLBLM_L_X8Y91/CLBLM_M_A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
339,INT_L_X34Y83/SL1BEG3->INT_L_X34Y82/BYP_ALT7,INT_L_X34Y83,INT_L,34,83,INT_L_X34Y83/SL1BEG3,INT_L_X34Y82/BYP_ALT7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
340,CLBLM_L_X8Y91/CLBLM_M_A5->SITEWIRE/SLICE_X10Y91/A5,CLBLM_L_X8Y91,CLBLM_L,8,91,CLBLM_L_X8Y91/CLBLM_M_A5,SITEWIRE/SLICE_X10Y91/A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
341,INT_L_X16Y118/LH12->INT_L_X30Y118/EE4BEG3,INT_L_X16Y118,INT_L,16,118,INT_L_X16Y118/LH12,INT_L_X30Y118/EE4BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
342,INT_R_X9Y108/IMUX43->DSP_R_X9Y105/DSP_0_B12,INT_R_X9Y108,INT_R,9,108,INT_R_X9Y108/IMUX43,DSP_R_X9Y105/DSP_0_B12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
343,INT_R_X7Y125/IMUX11->CLBLM_R_X7Y125/CLBLM_M_A4,INT_R_X7Y125,INT_R,7,125,INT_R_X7Y125/IMUX11,CLBLM_R_X7Y125/CLBLM_M_A4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
344,INT_L_X10Y93/NW6BEG3->INT_L_X8Y97/LVB_L0,INT_L_X10Y93,INT_L,10,93,INT_L_X10Y93/NW6BEG3,INT_L_X8Y97/LVB_L0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
345,INT_L_X8Y110/NN6A2->INT_L_X8Y116/NE2A2,INT_L_X8Y110,INT_L,8,110,INT_L_X8Y110/NN6A2,INT_L_X8Y116/NE2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
346,INT_L_X10Y93/WW4END3->INT_L_X10Y93/NW6BEG3,INT_L_X10Y93,INT_L,10,93,INT_L_X10Y93/WW4END3,INT_L_X10Y93/NW6BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
347,INT_L_X4Y145/IMUX_L7->CLBLL_L_X4Y145/CLBLL_LL_A1,INT_L_X4Y145,INT_L,4,145,INT_L_X4Y145/IMUX_L7,CLBLL_L_X4Y145/CLBLL_LL_A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
348,DSP_R_X9Y115/DSP_0_A12->SITEWIRE/DSP48_X0Y46/A12,DSP_R_X9Y115,DSP_R,9,115,DSP_R_X9Y115/DSP_0_A12,SITEWIRE/DSP48_X0Y46/A12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
349,INT_L_X8Y97/LVB_L0->INT_L_X8Y110/NN6A2,INT_L_X8Y97,INT_L,8,97,INT_L_X8Y97/LVB_L0,INT_L_X8Y110/NN6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
350,INT_L_X32Y87/SE6BEG3->INT_L_X34Y83/SL1BEG3,INT_L_X32Y87,INT_L,32,87,INT_L_X32Y87/SE6BEG3,INT_L_X34Y83/SL1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
